Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
11/15/2001,2001,11,79.2,93.6,230.4,100.8,72,165.6,64.8,136.8,144,151.2,172.8,172.8,180,230.4,129.6,223.2,288,223.2,237.6,100.8,223.2,252,79.2,223.2,230.4,216,201.6,208.8,208.8,172.8,237.6,201.6,208.8,216,43.2,194.4,115.2,115.2,86.4,144,158.4,158.4,158.4,115.2,237.6,273.6
12/15/2001,2001,12,111.6,141.36,297.6,163.68,111.6,238.08,133.92,208.32,238.08,267.84,305.04,305.04,319.92,305.04,141.36,275.28,342.24,290.16,305.04,141.36,297.6,290.16,119.04,305.04,245.52,297.6,215.76,312.48,334.8,245.52,357.12,334.8,327.36,275.28,52.08,305.04,178.56,178.56,133.92,200.88,230.64,238.08,238.08,171.12,252.96,327.36
1/15/2002,2002,1,37.2,52.08,148.8,52.08,37.2,74.4,37.2,66.96,74.4,89.28,104.16,104.16,111.6,148.8,66.96,141.36,171.12,148.8,148.8,52.08,148.8,148.8,37.2,156.24,133.92,156.24,111.6,156.24,163.68,111.6,156.24,141.36,126.48,119.04,22.32,111.6,66.96,66.96,44.64,66.96,74.4,74.4,74.4,59.52,133.92,156.24
2/15/2002,2002,2,26.88,33.6,80.64,26.88,20.16,47.04,26.88,47.04,80.64,87.36,107.52,100.8,107.52,80.64,53.76,87.36,100.8,87.36,87.36,26.88,80.64,73.92,13.44,80.64,53.76,80.64,40.32,80.64,80.64,60.48,94.08,80.64,100.8,40.32,6.72,26.88,40.32,40.32,26.88,33.6,40.32,40.32,40.32,26.88,100.8,100.8
3/15/2002,2002,3,59.52,74.4,89.28,59.52,52.08,96.72,52.08,96.72,148.8,163.68,193.44,186,200.88,89.28,52.08,89.28,66.96,104.16,81.84,66.96,96.72,52.08,52.08,104.16,44.64,119.04,37.2,119.04,126.48,111.6,186,163.68,193.44,44.64,22.32,52.08,96.72,96.72,66.96,81.84,89.28,89.28,89.28,66.96,66.96,59.52
4/15/2002,2002,4,21.6,28.8,64.8,14.4,21.6,43.2,7.2,36,43.2,36,50.4,43.2,50.4,50.4,57.6,79.2,43.2,86.4,64.8,36,72,28.8,14.4,64.8,21.6,72,14.4,57.6,43.2,50.4,57.6,43.2,57.6,14.4,14.4,7.2,36,36,21.6,43.2,36,36,36,21.6,64.8,43.2
5/15/2002,2002,5,14.88,22.32,29.76,22.32,14.88,44.64,14.88,37.2,44.64,52.08,59.52,59.52,59.52,37.2,22.32,29.76,37.2,29.76,29.76,29.76,29.76,29.76,14.88,29.76,22.32,37.2,14.88,37.2,44.64,29.76,44.64,52.08,52.08,22.32,7.44,29.76,29.76,29.76,14.88,37.2,44.64,44.64,44.64,29.76,29.76,37.2
6/15/2002,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,7.2,7.2
7/15/2002,2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2002,2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2002,2002,9,0,0,0,0,0,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,7.2,7.2,0,0,0
10/15/2002,2002,10,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44,0,0,0,0,0,0,7.44,0
