Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
4/15/2009,2009,4,28.8,21.6,21.6,28.8,36,28.8,36,28.8,21.6,14.4,21.6,21.6,21.6,7.2,7.2,21.6,21.6,14.4,7.2,7.2,7.2
5/15/2009,2009,5,52.08,44.64,29.76,37.2,52.08,29.76,37.2,29.76,22.32,7.44,14.88,14.88,14.88,7.44,7.44,14.88,14.88,14.88,7.44,7.44,7.44
6/15/2009,2009,6,72,50.4,28.8,14.4,28.8,7.2,14.4,7.2,7.2,0,7.2,7.2,7.2,0,0,7.2,7.2,0,0,0,0
7/15/2009,2009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2009,2009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2009,2009,9,7.2,7.2,7.2,7.2,7.2,7.2,7.2,14.4,14.4,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0
10/15/2009,2009,10,74.4,74.4,81.84,89.28,89.28,104.16,89.28,81.84,81.84,52.08,59.52,52.08,44.64,29.76,22.32,29.76,29.76,22.32,14.88,7.44,7.44
11/15/2009,2009,11,64.8,50.4,43.2,36,50.4,28.8,21.6,28.8,28.8,21.6,28.8,28.8,21.6,14.4,14.4,21.6,21.6,14.4,0,0,7.2
12/15/2009,2009,12,119.04,111.6,74.4,81.84,111.6,59.52,81.84,81.84,59.52,59.52,74.4,74.4,74.4,59.52,52.08,74.4,66.96,59.52,59.52,66.96,52.08
1/15/2010,2010,1,223.2,230.64,223.2,200.88,252.96,163.68,148.8,133.92,133.92,111.6,119.04,111.6,96.72,74.4,66.96,81.84,89.28,74.4,59.52,59.52,66.96
2/15/2010,2010,2,161.28,134.4,107.52,87.36,120.96,73.92,73.92,73.92,67.2,87.36,87.36,94.08,94.08,80.64,60.48,87.36,87.36,67.2,47.04,40.32,47.04
3/15/2010,2010,3,74.4,66.96,59.52,74.4,81.84,66.96,66.96,59.52,59.52,44.64,52.08,52.08,37.2,22.32,14.88,37.2,29.76,22.32,0,0,7.44
4/15/2010,2010,4,129.6,115.2,93.6,93.6,108,86.4,86.4,86.4,79.2,79.2,86.4,86.4,79.2,64.8,50.4,72,57.6,50.4,36,36,36
5/15/2010,2010,5,29.76,29.76,22.32,29.76,37.2,22.32,22.32,22.32,14.88,14.88,22.32,14.88,14.88,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44
6/15/2010,2010,6,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2010,2010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2010,2010,8,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2010,2010,9,14.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2010,2010,10,126.48,111.6,81.84,66.96,104.16,44.64,52.08,44.64,29.76,22.32,29.76,29.76,22.32,14.88,14.88,22.32,22.32,22.32,22.32,22.32,29.76
11/15/2010,2010,11,115.2,93.6,86.4,86.4,122.4,72,79.2,79.2,64.8,50.4,72,64.8,50.4,28.8,21.6,43.2,36,28.8,7.2,7.2,7.2
12/15/2010,2010,12,208.32,208.32,163.68,193.44,238.08,156.24,178.56,156.24,126.48,104.16,119.04,119.04,141.36,96.72,133.92,171.12,186,178.56,141.36,141.36,156.24
1/15/2011,2011,1,66.96,74.4,59.52,59.52,89.28,44.64,44.64,44.64,37.2,52.08,59.52,66.96,66.96,44.64,37.2,59.52,59.52,37.2,14.88,14.88,22.32
2/15/2011,2011,2,107.52,107.52,107.52,114.24,134.4,94.08,94.08,87.36,73.92,60.48,73.92,73.92,67.2,47.04,40.32,53.76,53.76,40.32,20.16,20.16,26.88
3/15/2011,2011,3,193.44,200.88,193.44,208.32,252.96,171.12,178.56,148.8,133.92,104.16,119.04,119.04,104.16,96.72,81.84,104.16,96.72,89.28,74.4,74.4,74.4
4/15/2011,2011,4,36,21.6,7.2,14.4,21.6,7.2,14.4,14.4,7.2,7.2,14.4,14.4,14.4,7.2,7.2,14.4,14.4,7.2,0,0,7.2
5/15/2011,2011,5,74.4,59.52,37.2,37.2,44.64,29.76,37.2,29.76,22.32,14.88,22.32,22.32,14.88,14.88,7.44,14.88,14.88,7.44,7.44,7.44,7.44
6/15/2011,2011,6,36,36,36,43.2,43.2,43.2,43.2,36,36,21.6,36,28.8,28.8,21.6,14.4,28.8,21.6,14.4,7.2,7.2,0
7/15/2011,2011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2011,2011,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2011,2011,9,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
